"x"
"1"	315149525
"2"	271089031
"3"	245577059
"4"	227682841
"5"	213951513
"6"	202842983
"7"	193536829
"8"	185544382
"9"	178551220
"10"	172343215
"11"	166768039
"12"	161713511
"13"	157094658
"14"	152845596
"15"	148914221
"16"	145258632
"17"	141844634
"18"	138643967
"19"	135633010
"20"	132791822
"21"	130103417
"22"	127553214
"23"	125128600
"24"	122818596
"25"	120613585
"26"	118505100
"27"	116485645
"28"	114548555
"29"	112687876
"30"	110898271
"31"	109174935
"32"	107513528
"33"	105910116
"34"	104361126
"35"	102863299
"36"	101413656
"37"	100009468
"38"	98648226
"39"	97327624
"40"	96045530
"41"	94799975
"42"	93589135
"43"	92411316
"44"	91264945
"45"	90148554
"46"	89060777
"47"	88000335
"48"	86966033
"49"	85956751
"50"	84971439
"51"	84009108
"52"	83068831
"53"	82149734
"54"	81250991
"55"	80371825
"56"	79511501
"57"	78669324
"58"	77844636
"59"	77036812
"60"	76245262
"61"	75469423
"62"	74708763
"63"	73962773
"64"	73230972
"65"	72512898
"66"	71808114
"67"	71116201
"68"	70436761
"69"	69769411
"70"	69113788
"71"	68469543
"72"	67836342
"73"	67213866
"74"	66601809
"75"	65999877
"76"	65407789
"77"	64825275
"78"	64252075
"79"	63687939
"80"	63132628
"81"	62585911
"82"	62047567
"83"	61517382
"84"	60995150
"85"	60480673
"86"	59973759
"87"	59474225
"88"	58981893
"89"	58496591
"90"	58018153
"91"	57546419
"92"	57081235
"93"	56622451
"94"	56169922
"95"	55723508
"96"	55283074
"97"	54848489
"98"	54419626
"99"	53996362
"100"	53578578
"101"	53166158
"102"	52758990
"103"	52356966
"104"	51959980
"105"	51567930
"106"	51180716
"107"	50798243
"108"	50420416
"109"	50047145
"110"	49678341
"111"	49313919
"112"	48953794
"113"	48597885
"114"	48246113
"115"	47898402
"116"	47554676
"117"	47214863
"118"	46878891
"119"	46546692
"120"	46218198
"121"	45893343
"122"	45572064
"123"	45254298
"124"	44939984
"125"	44629064
